method,num_threads,time
Async,10,310.2561581134796
Threading,10,274.67129015922546
Async,20,197.77371907234192
Threading,20,150.02586197853088
Async,30,150.5126440525055
Threading,30,105.03485107421875
Async,50,104.19247913360596
Threading,50,94.07459616661072
Async,75,86.35866808891296
Threading,75,93.01776671409607
Async,100,83.49021315574646
Threading,100,97.61999988555908
Async,150,83.2787652015686
Threading,150,102.08885312080383
Async,200,86.16371583938599
Threading,200,131.6093728542328
